obj_id,title,dates,dc_type,silver_tier,era,all_tokens,ddb_link
4DQUPHHIY4P56GQFMBAR3VVSM53VL2JI,"Rastegar, Nosratollah, Uto von Melzer : (1881 - 1961) ; Werk und Nachlaß eines österreichischen Iranisten / N. Rastegar ; W. Slaje. - (Sitzungsberichte / Österreichische Akademie der Wissenschaften, Philosophisch-Historische Klasse ; 477). - (Österreichische Akademie der Wissenschaften <Wien> / Veröffentlichungen der Iranischen Kommission ; 20) : Wien, 1987",2018,Monografie,2,modern,63,https://www.deutsche-digitale-bibliothek.de/item/4DQUPHHIY4P56GQFMBAR3VVSM53VL2JI
CFIFRXNV5RXU7QLKQS6ERX7LC77BR4PB,"Gottes hohe Himmels-Schule :Bey ... Beerdigung Des ... Herrn M. Benjamin Stolbergks/ Der Schulen zum heiligen Creutz allhier gewesenen ... Con-Rectoris, Welcher ... dem 14. Aprilis ... eingeschlaffen/ und dem folgenden 22. selbigen Monats/ im Jahr 1662. bey der Kirchen zu unser lieben Frauen/ in sein Ruhekämmerlein ... eingesencket worden/ Daselbsten aus denen Worten des Propheten Jeremiae/ in dessen Klagliedern Cap. 3. v. 24. Der Herr ist mein Theil/ spricht meine Seele/ darumb wil ich auff Ihn hoffen. Einfältig angeführet",1662,Monografie,1,pre-1700,92,https://www.deutsche-digitale-bibliothek.de/item/CFIFRXNV5RXU7QLKQS6ERX7LC77BR4PB
NQCZV4AJ4MBVWXV2JRCDFUXBVNSLI6TJ,"Christliche Leichpredigt/ Bey dem Begräbnuß der Ehrbarn/ Ehren/ und vieltugentsamen Frawen Dorotheen, Des ... Friderici Balduini, der H. Schrifft Doctoris, bey der löblichen Universitet Wittenberg vornehmen Professoris, der Theologischen Facultet Senioris, auch Pfarrherr/ unnd Superintendenten daselbsten/ Ehelichen geliebten Hauß-Frawen : Welche Freytags den 4, Tag Octobris frühe umb 2. Uhr ... entschlaffen/ und den folgenden XVI. Sontag nach Trinitatis, welcher war der 6. Octobris, in ihr Ruhebetlein ist versetzet worden",1622,Leichenpredigt|Monografie,0,pre-1700,85,https://www.deutsche-digitale-bibliothek.de/item/NQCZV4AJ4MBVWXV2JRCDFUXBVNSLI6TJ
BFYSXQSY7BGXEVOA2HDHAIMZ75T5RR7F,"Georg der Andere, von Gottes Gnaden König von Groß-Britannien, Franckreich und Irrland, Beschützer des Glaubens, Hertzog zu Braunschw. und Lüneb. ... Uns ist vorkommen daß in verschiedenen Städten Unserer Teutschen Provintzen die böse Gewonheit sey, daß die aus Unsern Collegiis eingehende Rescripta, und Verordnungen nicht an den gantzen Raht gebracht, weniger in Sachen welche in die œconomie und Policey schlagen, in gehörige Deliberation gezogen werden, sondern die Bürgermeistre die Sachen vor sich abthun, und die Antwort entweder selbst verfassen, oder durch die Syndicos und Secretarios verfassen ... Als ordnen und wollen Wir hiemit daß hinkünfftig alle und jede aus Unsern Collegiis an die Magistrate in denen Städten abgehende Rescripta ... im versamleten Raht verlesen ... werden ... : [Geben Hannover den 16. August 1729.]",1729 - ,Verordnung|Einblattdruck|Monografie,1,unknown,139,https://www.deutsche-digitale-bibliothek.de/item/BFYSXQSY7BGXEVOA2HDHAIMZ75T5RR7F
3NX3SFM765PPUOIWSH5B7JLFKJSKUEG4,Treuhertzige Warnung/ vor dem verführischen Geist der neuen Schwärmer/ Offenbarungs-Träumer und falschen Propheten,1692,Streitschrift:theol.|Monografie,0,pre-1700,15,https://www.deutsche-digitale-bibliothek.de/item/3NX3SFM765PPUOIWSH5B7JLFKJSKUEG4
PKSQCFLYTBM4THR4L2PT246IV6A45RCX,"Liturgisches Magazin. Bd. 2, St. 1-2. [Hrsg. von G. F. Seiler]. Erlangen: Palm 1786",1787,Aufsatz,1,1700-1800,22,https://www.deutsche-digitale-bibliothek.de/item/PKSQCFLYTBM4THR4L2PT246IV6A45RCX
7Z3YO22JJBFQQRKCARCWKBSRZPO7BRHJ,"Carmina sacra (2. Heft) WoO 7 - BSB Mus.ms. 4672 a-2,4 :Nr. 4 Sederunt principes (Aus dem Kirchenjahr)",1881,Monografie,1,19th-c,24,https://www.deutsche-digitale-bibliothek.de/item/7Z3YO22JJBFQQRKCARCWKBSRZPO7BRHJ
GY6INS3PZINXZPELE4FP4ISIBNCWO2SN,"Abschiedt, So in Namen und von wegen Der Röm: Kayserl: auch zu Hungaren und Böhmen Königl: May: unsers allergnädigsten Herrn, Zwischen ... Herrn Ambrosio Spinola, Marggraffen zu Sesto ... an einem, Unnd dann ... Herrn Moritzen, Landgraffen zu Hessen ... am andern Theil, in der Churfürstlichen Stadt Bingen den 26. Martii (5. April,) verfasset und geschlossen worden",1621,Monografie,0,pre-1700,70,https://www.deutsche-digitale-bibliothek.de/item/GY6INS3PZINXZPELE4FP4ISIBNCWO2SN
PYLS452XGTLPCSYA2TXMTFZBA3OEICSG,"Die Himmels-Begierde der Gläubigen auf Erden. Ward Bey Beerdigung des ... Herrn Werner Julius Günther Hantelmann, Hochfürstl. Braunschw. Lüneburgischen ... Amts-Raths ... zu Holtzminden und Stadt Oldendorff ... Am vierten Sonntage des Advents Anno 1741. ... in einer solennen Leichen- und Gedächtniß-Predigt vorgestellt",1741 - ,Leichenpredigt|Monografie,0,unknown,47,https://www.deutsche-digitale-bibliothek.de/item/PYLS452XGTLPCSYA2TXMTFZBA3OEICSG
XRILQDJPNKNA3SJZABIPCAJHBESEYDGC,"Sursum Deorsum! Oder Die alleredelste Sorgfalt Des weyland Durchlauchtigsten Fürsten und Herrn/ Herrn Johann Georgen Des Andern/ Hertzogens zu Sachsen/ Jülich/ Cleve und Berg ... : Aus Höchst-gedachter Ihrer Chur-Fürstl. Durchl. Symbolo und nach Anleitung der Worte Pauli/ Col. III,1. 2. Als Dero am 22. Augusti, Anno 1680. höchst-seeligst verblichener Leichnam ... Am 29. Eiusdem, war der XII. Sonntag nach Trinitatis, In die Kirche Auf dem Schloß Freudenstein zu Freyberg gesetzet worden",1680,Leichenpredigt|Monografie,1,pre-1700,85,https://www.deutsche-digitale-bibliothek.de/item/XRILQDJPNKNA3SJZABIPCAJHBESEYDGC
PZ5G6NSLTGQ37GR27AIQEONFVR32HHOF,"Najmabadi, Seifeddin, Die persischen Handschriften der Universitätsbibliothek Heidelberg / beschrieben von Seyfeddin Najmabadi. - (Universitätsbibliothek <Heidelberg>: Heidelberger Bibliotheksschriften ; 46) : Heidelberg, 1990",2018,Monografie,2,modern,32,https://www.deutsche-digitale-bibliothek.de/item/PZ5G6NSLTGQ37GR27AIQEONFVR32HHOF
K72M3WADIENAV7ESMOY3RBVF7OKSLQC2,Ain neues lied gemachet durch Pamphilum genge[n]||bach/ zů lob dem al[l]er hochgebornsten/ großmächtigosten. Karolo/ erwölter römisch||en Künig. Künig in Hyspanien/ Vngern/ Granaten/ Napels. [et]c. Ein geborner Ertz||hertzog in Osterreych/ Hertzog von Burgund. [et]c.|| : Ir churfürsten all gemaine. ...,1519,Lied|Einblattdruck|Monografie,0,pre-1700,63,https://www.deutsche-digitale-bibliothek.de/item/K72M3WADIENAV7ESMOY3RBVF7OKSLQC2
XAVMI4WXIHX6XZGC6P6QJLDINEW4PAEC,"Beyträge zur neuern Staats- und Krieges-Geschichte. 5, 5 = Stück 41 - 48. 1758",1758,Heft,1,1700-1800,16,https://www.deutsche-digitale-bibliothek.de/item/XAVMI4WXIHX6XZGC6P6QJLDINEW4PAEC
3OH2SOYKCD6N2TFI3KKBRLDAGWP4BTZL,"Mayer, Anton L., Die Liturgie in der europäischen Geistesgeschichte. Gesammelte Aufsätze / Hrsg. u. eingeleitet von Emmanuel v. Severus OSB. - (Unveränderter reprografischer Nachdruck) : Darmstadt, 1971",2019,Monografie,2,modern,34,https://www.deutsche-digitale-bibliothek.de/item/3OH2SOYKCD6N2TFI3KKBRLDAGWP4BTZL
GBFSV6ZR3YUNWXZQYH56XSY65IFG5KUS,"Haye, Thomas: Thomas Hayes ernstliche Warnung vor den gefährlichen Folgen vernachläßigter Katarrhe : nebst einem Unterricht von der Kur der Lungenschwindsucht, des Keuchhustens und der Engbrüstigkeit / nach der 3., Londner verm. Ausg. aus dem Engl. übers. von Christian Friedrich Michaelis. - Leipzig : Hilscher, 1787",1788,Aufsatz,2,1700-1800,56,https://www.deutsche-digitale-bibliothek.de/item/GBFSV6ZR3YUNWXZQYH56XSY65IFG5KUS
UGMLYTBQ5BZOZ3E7M2LTA452F2NL6FET,Das Gesetz vom 12. März 1869 betreffend die Ausstellung gerichtlicher Erbbescheinigungen : aus den Materialien erläutert,1870,Monografie,1,19th-c,16,https://www.deutsche-digitale-bibliothek.de/item/UGMLYTBQ5BZOZ3E7M2LTA452F2NL6FET
WOCYPHDUKOTJKQTPO5IW2QUYIQWIROPK,"Nachlass von Max Scheler (1874-1928) – BSB Ana 315. CB.6.16, Max Scheler (1874-1928) Nachlass: Göttlicher Wille - BSB Ana 315.CB.VI.16",1927,Band,0,modern,30,https://www.deutsche-digitale-bibliothek.de/item/WOCYPHDUKOTJKQTPO5IW2QUYIQWIROPK
3DDFTH3H5KP6ZICQYLCIXPY3GUVVBHE6,Besondere Bestimmungen der Prüfungsordnung für den Masterstudiengang Lehramt an Grundschulen mit dem Unterrichtsfach Englisch an der Universität Paderborn :vom 14. März 2014,2014,Monografie,1,modern,23,https://www.deutsche-digitale-bibliothek.de/item/3DDFTH3H5KP6ZICQYLCIXPY3GUVVBHE6
LTDZ6VLY4OF3LPVJ3N375NXWIVW2XSHX,"Friedrich's von Hohenlohe, Bischof's von Bamberg, Rechtsbuch :(1348). Zum ersten Male herausgegeben und mit einem Commentare begleitet von C. Höfler. (Unter Mitwirkung des historischen Vereins zu Bamberg.) (Quellensammlung für fränkische Geschichte, herausgegeben von dem historischen Vereine zu Bamberg; 3. Band)",1852,Monografie,1,19th-c,53,https://www.deutsche-digitale-bibliothek.de/item/LTDZ6VLY4OF3LPVJ3N375NXWIVW2XSHX
JDRNRLPB5BWULM52JRO7MZ25RXEE5KXF,Der Kampf um Warschau,1939,Aufsatz,0,modern,4,https://www.deutsche-digitale-bibliothek.de/item/JDRNRLPB5BWULM52JRO7MZ25RXEE5KXF
YQZNRIEDSXGNXDFWRPNQHYOHWVLLDKHT,Das danckbahre Ehren-Gedächniß eines in Gott ruhenden Lehrers! : Welches Aus denen Worten Davids Ps. LXXIII. v. 23. 24. Dennoch bleibe ich stets an dir/ denn du [et]c. Bey Christlicher Leich-Begängniß Des ... Herren Friederichs Meiers 57. Jahr gewesenen treufleißigen Lehrers und Seelsorgers der Gemeinen zu Beinum und Flachstöcken in dem Ambte Liebenburg Als Derselbige den 25. Martii dieses jetzt lauffenden 1725. Jahres ... entschlaffen/ und ... den 11. April. zu seiner Ruhe-Stäte gebracht wurde,1725,Leichenpredigt|Gelegenheitsschrift:Tod|Monografie,1,1700-1800,84,https://www.deutsche-digitale-bibliothek.de/item/YQZNRIEDSXGNXDFWRPNQHYOHWVLLDKHT
F3ABC6JNE3P7BNWOINDMSE7K43DMJT4Z,"Wir Friderich der Dritte/ von Gottes Gnaden/ Marggraff zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cammerer und Churfürst/ in Preussen ... Geben hiermit ... zuvernehmen/ und werden dieselbe sich ohne dem zu erinnern ... was gestalt Unsers in Gott ruhenden Herrn Vaters Gnaden/ aus tragender Lands Väterlicher Vorsorge wegen des verbotenen höchstschädlichen Gold- und Silber-Handels/ dero gnädigstes Edictum unterm dato Potstam den 18. Martii 1685. nachfolgenden Inhalts haben ergehen und publiciren lassen ... : So geschehen in Unserm Haupt-Quartier zu Genappe, den 28 Iulii 7 Augusti 1690.",1690,Einblattdruck|Verordnung|Geldwesen|Monografie,1,pre-1700,96,https://www.deutsche-digitale-bibliothek.de/item/F3ABC6JNE3P7BNWOINDMSE7K43DMJT4Z
JB5T7M47ZZRCYMUILZMTSGRNUZQYX5B3,Bogenberg/ Unser lieben Frawen Gottshauß/ in deß Durchleuchtigen/ Hochgebornen Fürsten und Herrn/ Herrn Maximiliani/ Pfaltzgrafen bey Rhein/ Hertzog in Obern unnd Nidern Beyrn [et]c. Landt/ Regenspurger Bistumbs gelegen. Was für mercklicher Gnaden und Wunderzeichen/ daselbsten nun etlich Jahr her/ auß Fürbitt Marie der Mutter Gottes geschehen seyndt : Jetzt aber vonn Andächtiger Leut Bitt wegen/ Der Ehrwürdig in Gott Vatter unnd Herr/ Herr Christoff Abbt zu Oberaltäch/ als Oberster Pfarrherr ermelten Gottshauß zu trucken vergunt hat,1602,Monografie,0,pre-1700,92,https://www.deutsche-digitale-bibliothek.de/item/JB5T7M47ZZRCYMUILZMTSGRNUZQYX5B3
FLFSUQPVOOAIUSTA4A3X4V67P332IZAZ,"Bekannt genug sind leider! die entsetzlichen Auftritte, welche sich neuester Tagen, besonders aber am Abend des 25. vorigen Monats, in den Mauren hiesiger Reichsstadt, die von Jahrhunderten her für ganz Deutschland ein Beyspiel bürgerlicher Ruhe und Zufriedenheit gewesen ist, ereignet haben ... : Decretum im gebottenen Rath, den 1. Merz 1794.",1794,Einblattdruck|Amtsdruckschrift|Monografie,1,1700-1800,58,https://www.deutsche-digitale-bibliothek.de/item/FLFSUQPVOOAIUSTA4A3X4V67P332IZAZ
7EURMWBAOEYCW33XUZFNDAZUQHQ3Z74W,"Gallerie aller juridischen Autoren von der ältesten bis auf die jetztige Zeit mit ihren vorzüglichsten Schriften nach alphabetischer Ordnung aufgestellt / von Johann Heinrich Stepf . - Leipzig : Lauffer, 1820. - 1. Band von A bis B",1821,Aufsatz,2,19th-c,39,https://www.deutsche-digitale-bibliothek.de/item/7EURMWBAOEYCW33XUZFNDAZUQHQ3Z74W
5VYPIGIUQEJ7DPYK52MLWJOV2BXB437R,"Georg der Dritte, von Gottes Gnaden König von Groß-Britannien, Franckreich und Irrland, Beschützer des Glaubens, Hertzog zu Braunschweig und Lüneburg ... Wir vernehmen mißfälligst, daß an theils Orten in Unser Grafschaft Hoya noch ein und andere durch die Policey-Gesetze längst verbothene Unordnungen sowohl bey denen Hochzeiten als Sterbfällen und Leichen auf den Dörfern vorgehen sollen ... : [Geben Hannover den 11ten Aug. 1773.]",1773 - ,Einblattdruck|Verordnung|Monografie,1,unknown,70,https://www.deutsche-digitale-bibliothek.de/item/5VYPIGIUQEJ7DPYK52MLWJOV2BXB437R
GUA4KN7K2SPCRAOTU5BHXVCQCW76WTQB,Untersuchungen über die Textur der Lymphdrüsen :Inaug. Diss.,1860,Monografie,0,19th-c,11,https://www.deutsche-digitale-bibliothek.de/item/GUA4KN7K2SPCRAOTU5BHXVCQCW76WTQB
2N36N7VQSHRJJZVRHO4X5BSZVXQZUBMM,"1910: Jahresbericht : aus den Missionen der Rheinisch-Westfälischen Kapuziner-Ordensprovinz auf den Karolinen, Marianen u. Palau-Inseln in d. deutschen Südsee",1910,Band,1,modern,21,https://www.deutsche-digitale-bibliothek.de/item/2N36N7VQSHRJJZVRHO4X5BSZVXQZUBMM
CVJSN46YVQRIP7IR55PFRRMHW5ADVDBU,Bibliothekserlaubnisse im Urheberrecht,2021,Monografie,0,modern,3,https://www.deutsche-digitale-bibliothek.de/item/CVJSN46YVQRIP7IR55PFRRMHW5ADVDBU
E6G5PIN2WASFUN37TLZGNQ3VUHWZCHH4,"Gesammelte Werke :Schriften, Verkündigung, Briefe. 3,6, Bad Boller Briefe 1852 - 1880 : Anmerkungen",1999,Band,1,modern,19,https://www.deutsche-digitale-bibliothek.de/item/E6G5PIN2WASFUN37TLZGNQ3VUHWZCHH4
RYW5H4G6335TAW6HGXZ7DGHBJ7JHLMWW,"718-720 [Rezension] Gabrielsson, Johannes, Über die Quellen des Clemens Alexandrinus. Erster Teil",1907,Aufsatz,0,modern,19,https://www.deutsche-digitale-bibliothek.de/item/RYW5H4G6335TAW6HGXZ7DGHBJ7JHLMWW
EPTQRDBTD3RCX52AXKW7CT7GYL6MWU4S,"Schmerler, Johann Adam: Sophrons Lehren der Weisheit und Tugend für seine erwachsene Tochter oder Versuch einer Frauenzimmermoral / von Johann Adam Schmerler Rector an der gemeindlichen Schule in Fürth. - Erlangen : Palm, 1791",1792,Aufsatz,2,1700-1800,38,https://www.deutsche-digitale-bibliothek.de/item/EPTQRDBTD3RCX52AXKW7CT7GYL6MWU4S
CN4LYRXWLA5EUWF5YGUEFFIBKPY23UJO,"Lob-Trauer- und Trost-Rede dem weyland Reichs-Frey Hochwohlgebohrnen Herrn/ Herrn Carl August Rau von und zu Holtzhaussen, Gerichts-Herrn zu Nordeck und Holtzhaussen ... als Derselbige den 30. Tag Januarii 1733 ... sanfft und selig entschlaffen; und ... zu Winnen eingesencket worden",1733,Gelegenheitsschrift:Tod|Leichenpredigt|Monografie,0,1700-1800,43,https://www.deutsche-digitale-bibliothek.de/item/CN4LYRXWLA5EUWF5YGUEFFIBKPY23UJO
AL3HZXKS4X7EQDNJFNIQHK2R3Y6BC7GU,"Sainte-Pallaye, Jean Baptiste de LaCurne de: Das Ritterwesen des Mittelalters nach seiner politischen und militärischen Verfassung / Aus dem Französischen des Herrn de la Curne de Sainte-Palaye mit Anmerkungen, Zusätzen und Vorrede von Johann Ludwig Klüber. - Nürnberg : Grattenauer Bd. 3. - 1791",1792,Aufsatz,2,1700-1800,48,https://www.deutsche-digitale-bibliothek.de/item/AL3HZXKS4X7EQDNJFNIQHK2R3Y6BC7GU
RSUTCEJ7O37LLUAMPL4JJXMVOHJT4IK7,"Heppe, J. C.: Abbildung und Beschreibung der Fische. Ausg. 3-4. Nürnberg: Winterschmidt 1789",1796,Aufsatz,1,1700-1800,20,https://www.deutsche-digitale-bibliothek.de/item/RSUTCEJ7O37LLUAMPL4JJXMVOHJT4IK7
IJMWJQJERSW3BXEYIHLDD6Z54WPWFHLX,"Aus Meinem Leben, Dichtung und Wahrheit / von [Johann Wolfgang von] Goethe. - Erster Theil. - Tübingen, 1811 ; Zweiter Theil. - Do., 1812 ; Dritter Theil. - Tübingen, 1814",1817,Aufsatz,2,19th-c,40,https://www.deutsche-digitale-bibliothek.de/item/IJMWJQJERSW3BXEYIHLDD6Z54WPWFHLX
QV73FOBJP7JXFBA2HC4DFEP7TS7FWM3Y,Modulhandbuch Master Medienwirtschaft : Studienordnungsversion: 2014,2018,Monografie,1,modern,7,https://www.deutsche-digitale-bibliothek.de/item/QV73FOBJP7JXFBA2HC4DFEP7TS7FWM3Y
GTVDNV4QWTLXFU45Z4WUCQLPJVPTKDU2,Eine kurtze einfeltige doch Christliche Leichpredigt uber den kurtzen Spruch des H. und gedültigen Hiobs aus seinem Buch am 14. Capitel ... : Bey dem Begräbnüs Des Edlen Tugentsamen zarten Rößleins Annaemariae Des ... Johan Friedrichs von Oppen ... Und der Edlen Tugendreichen Jungfrawen/ Hedwigen/ beider Adelichen Eheleuten liebes zartes Töchterlein ... welches den 1. Martii allhier zu Friederßdorff an den Masern gestorben/ und den 6. Martii ist ... begraben worden ihres alters im 4. Jahr/ etc.,1610,Leichenpredigt|Monografie,0,pre-1700,81,https://www.deutsche-digitale-bibliothek.de/item/GTVDNV4QWTLXFU45Z4WUCQLPJVPTKDU2
S7JRH4UNP5ZFM36ALHJB47KRHF57TPBX,"Königlich-Württembergisches Staats- und Regierungsblatt :vom Jahr ... 1817, 1817",1817,Heft,1,19th-c,11,https://www.deutsche-digitale-bibliothek.de/item/S7JRH4UNP5ZFM36ALHJB47KRHF57TPBX
VEC2QBSGRO7474UUE72IJROKSBUZOV26,Vom heil. Geists-Hospitale,1787,Abschnitt,0,1700-1800,4,https://www.deutsche-digitale-bibliothek.de/item/VEC2QBSGRO7474UUE72IJROKSBUZOV26
LZXEM32KQDXEEFJVN47WGJ5RXJMXHG2N,Mitteilungen : 1. Beilage zu Nr. 25 der Pädagogischen Reform,1905,Aufsatz,1,modern,10,https://www.deutsche-digitale-bibliothek.de/item/LZXEM32KQDXEEFJVN47WGJ5RXJMXHG2N
M3DCZS5JZWHI4RQD5C5ASXD4VTIKBDHV,"Allgemeine Zeitung. 1907, 1907 = Jg. 110, 9 - 10",1907,Heft,1,modern,14,https://www.deutsche-digitale-bibliothek.de/item/M3DCZS5JZWHI4RQD5C5ASXD4VTIKBDHV
YZJ4CN5PEO33Q2NK3BTO2GFRL7QHKSWG,Modulhandbuch Bachelor Angewandte Medienwissenschaft : Studienordnungsversion: 2009,2016,Monografie,1,modern,8,https://www.deutsche-digitale-bibliothek.de/item/YZJ4CN5PEO33Q2NK3BTO2GFRL7QHKSWG
BWXAM6UGIZ5MPGGP2NW37BCWVMKB2C32,"Von Gottes Gnaden, Wir Carl Wilhelm Friderich, Marggraff zu Brandenburg, Herzog in Preussen, zu Schlesien ... Unsern gnädigsten Gruß zuvor ... Ab beygehenden- von Unserm Fürstlichen Consistorio mit Unserer gnädigsten Genehmigung an die gesammte Decanate Unsers Fürstenthums und Lande erlassenden Ausschreiben werdet Ihr breitern Innhalts ersehen, was Wir ... Verehrungs-vollen Danck-Pflicht, in Ruckerinnerung des- vor zwey hundert Jahren am 25. Septembris 1555. erfreulich ... Religions-Friedens, vor ein ... Danck-Fest anzuordnen ... : [Onolzbach den 30. Julii 1755.]",1755,Verordnung|Einblattdruck|Gelegenheitsschrift:Friedensschluß|Monografie,1,1700-1800,86,https://www.deutsche-digitale-bibliothek.de/item/BWXAM6UGIZ5MPGGP2NW37BCWVMKB2C32
NHSUJS253OONJRB34Z3SDZVKVCZVH237,"Georg der Dritte, von Gottes Gnaden, König von Großbritannien, Frankreich und Irrland, Beschützer des Glaubens, Herzog zu Braunschweig und Lüneburg ... Da Wir bey den gegenwärtigen Zeit-Umständen zur Sicherstellung Unserer Herzogthümer Bremen und Verden durchaus erforderlich erachten, zur innern Vertheidigung auf die Zeit der Gefahr ein eigenes Corps von etwa 1500 Mann ... ungesäumt errichten ... zu lassen ... : Stade, den 27. Aprill 1795",1795 - ,Einblattdruck|Amtsdruckschrift|Monografie,1,unknown,72,https://www.deutsche-digitale-bibliothek.de/item/NHSUJS253OONJRB34Z3SDZVKVCZVH237
CLX7TNNCQHUA2ODUP4UL55YRFUYD3JXI,9. Kapitel. Teuflische Rache.,1897,Abschnitt,0,19th-c,6,https://www.deutsche-digitale-bibliothek.de/item/CLX7TNNCQHUA2ODUP4UL55YRFUYD3JXI
ARMT3JH6GQDCJA3VOFPZIVNCCQFFII6L,"Marsilianische Historia :Summarischer bericht dessen, so sich mit, ... der Statt Marsilia, inn disem noch wehrenden Krieg, zwischen Heinrico dem IIII. diß namens, Koenig inn Franckreich vnd Nauarra, auch Philippo dem Koenig in Hispania, zugetragen, wie auch endtlich angeregte Stat, auff den 17. tag des monats Februarij, ... durch den Hertzogen von Guysa eingenom[m]en ...",1596,Monografie,0,pre-1700,71,https://www.deutsche-digitale-bibliothek.de/item/ARMT3JH6GQDCJA3VOFPZIVNCCQFFII6L
XYAGTY2K3BLTMHH6JG3WAOH6O7YQ6QCV,"Neueröffnete Moralisten-Bibliothec, oder die durch engländische, frantzösische, holländische, deutsche, italiänische, griechische und lateinische Schriften erläuterte geistliche Morale oder Sitten-Lehre nach allen Tugenden und Lastern :nebst denen dahin sich beziehenden Materien zu einem sonderbaren Hülfs-Mittel für alle, so diese Wissenschaft lieben abgefasset, 4. 1715",1715,Heft,1,1700-1800,52,https://www.deutsche-digitale-bibliothek.de/item/XYAGTY2K3BLTMHH6JG3WAOH6O7YQ6QCV
BQYYBC7BRI25HG2CTSANQHY6M5UEDJRH,"Ursachen, Therapieformen und Komplikationen von Unterkieferfrakturen :eine retrospektive Analyse der Jahre 1994-2005",2009,Monografie,1,modern,16,https://www.deutsche-digitale-bibliothek.de/item/BQYYBC7BRI25HG2CTSANQHY6M5UEDJRH
